1 1 33527342.94578182
1 1 33545879.50711729
1 1 33564347.43499088
1 1 33582739.54349688
1 1 33601048.40181901
1 1 33619266.32701639
1 1 33637385.37660266
1 1 33655397.34091283
1 1 33673293.73525133
1 1 33691065.79181534
1 1 33708704.45138675
1 1 33726200.35478635
1 1 33743543.83408330
1 1 33760724.90355284
1 1 33777733.25037545
1 1 33794558.22506949
1 1 33811188.83165020
1 1 33827613.71750714
1 1 33843821.16299186
1 1 33859799.07070784
1 1 33875534.95449401
1 1 33891015.92809321
1 1 33906228.69349669
1 1 33921159.52895544
1 1 33935794.27664869
1 1 33950118.33000024
1 1 33964116.62063232
1 1 33977773.60494678
1 1 33991073.25032322
1 1 34003999.02092309
1 1 34016533.86308866
1 1 34028660.19032545
1 1 34040359.86785643
1 1 34051614.19673585
1 1 34062403.89751039
1 1 34072709.09341487
1 1 34082509.29308952
1 1 34091783.37280546
1 1 34100509.55818439
1 1 34108665.40539879
1 1 34116227.78183767
1 1 34123172.84622350
1 1 34129476.02816453
1 1 34135112.00712736
1 1 34140054.69081331
1 1 34144277.19292235
1 1 34147751.81028754
1 1 34150449.99936287
1 1 34152342.35204647
1 1 34153398.57082111
1 1 34153587.44319338
1 1 34152876.81541232
1 2 34169898.31120452
1 2 34186906.07558277
1 2 34203895.15224260
1 2 34220860.40159851
1 2 34237796.49497775
1 2 34254697.90862665
1 2 34271558.91752230
1 2 34288373.58898295
1 2 34305135.77606958
1 2 34321839.11077107
1 2 34338476.99696487
1 2 34355042.60314494
1 2 34371528.85490815
1 2 34387928.42718994
1 2 34404233.73623987
1 2 34420436.93132680
1 2 34436529.88616335
1 2 34452504.19003858
1 2 34468351.13864749
1 2 34484061.72460489
1 2 34499626.62763134
1 2 34515036.20439749
1 2 34530280.47801288
1 2 34545349.12714437
1 2 34560231.47474877
1 2 34574916.47640298
1 2 34589392.70821469
1 2 34603648.35429516
1 2 34617671.19377489
1 2 34631448.58734194
1 2 34644967.46328123
1 2 34658214.30299226
1 2 34671175.12596101
1 2 34683835.47416066
1 2 34696180.39585402
1 2 34708194.42876913
1 2 34719861.58261734
1 2 34731165.32092194
1 2 34742088.54212265
1 2 34752613.55991962
1 2 34762722.08281817
1 2 34772395.19283257
1 2 34781613.32330518
1 2 34790356.23579374
1 2 34798602.99597664
1 2 34806331.94852294
1 2 34813520.69086991
1 2 34820146.04584721
1 2 34826184.03308273
1 2 34831609.83912043
1 2 34836397.78617602
1 2 34840521.29945116
1 2 34843952.87292129
1 2 34846664.03350665
1 2 34848625.30352963
1 2 34849806.16135533
1 2 34850175.00010509
1 2 34849699.08432551
1 3 34866137.92395213
1 3 34882563.23447383
1 3 34898970.19893599
1 3 34915353.82148954
1 3 34931708.92168535
1 3 34948030.12858264
